Periodo,CodDepto,NombreDepto,mpio_cdpmp,NombreEntidad,C1,Valor_25
2013_2014,FI000,"Fiscalizacion, Yacimientos y Cartografía",FI006,Fiscalización - Departamento de Antioquia,OTROS,0.0
2015_2016,FI000,"Fiscalizacion, Yacimientos y Cartografía",FI000,"Fiscalizacion, Yacimientos y Cartografía",AHORRO,0.0
2015_2016,FI000,"Fiscalizacion, Yacimientos y Cartografía",FI000,"Fiscalizacion, Yacimientos y Cartografía",INVERSIÓN,0.0
2015_2016,FI000,"Fiscalizacion, Yacimientos y Cartografía",FI000,"Fiscalizacion, Yacimientos y Cartografía",OTROS,397285537688.8161
2015_2016,FI000,"Fiscalizacion, Yacimientos y Cartografía",FI001,Fiscalizacion por Distribuir,AHORRO,0.0
2015_2016,FI000,"Fiscalizacion, Yacimientos y Cartografía",FI001,Fiscalizacion por Distribuir,INVERSIÓN,0.0
2015_2016,FI000,"Fiscalizacion, Yacimientos y Cartografía",FI001,Fiscalizacion por Distribuir,OTROS,0.0
2015_2016,FI000,"Fiscalizacion, Yacimientos y Cartografía",FI002,Fiscalización - Servicio Geológico Colombiano,AHORRO,0.0
2015_2016,FI000,"Fiscalizacion, Yacimientos y Cartografía",FI002,Fiscalización - Servicio Geológico Colombiano,INVERSIÓN,0.0
2015_2016,FI000,"Fiscalizacion, Yacimientos y Cartografía",FI002,Fiscalización - Servicio Geológico Colombiano,OTROS,0.0
2015_2016,FI000,"Fiscalizacion, Yacimientos y Cartografía",FI003,Fiscalización - Agencia Nacional de Minería,AHORRO,0.0
2015_2016,FI000,"Fiscalizacion, Yacimientos y Cartografía",FI003,Fiscalización - Agencia Nacional de Minería,INVERSIÓN,0.0
2015_2016,FI000,"Fiscalizacion, Yacimientos y Cartografía",FI003,Fiscalización - Agencia Nacional de Minería,OTROS,0.0
2015_2016,FI000,"Fiscalizacion, Yacimientos y Cartografía",FI004,Fiscalización - Agencia Nacional de Hidrocarburos,AHORRO,0.0
2015_2016,FI000,"Fiscalizacion, Yacimientos y Cartografía",FI004,Fiscalización - Agencia Nacional de Hidrocarburos,INVERSIÓN,0.0
2015_2016,FI000,"Fiscalizacion, Yacimientos y Cartografía",FI004,Fiscalización - Agencia Nacional de Hidrocarburos,OTROS,0.0
2015_2016,FI000,"Fiscalizacion, Yacimientos y Cartografía",FI005,Fiscalización - Ministerio de Minas y Energía,AHORRO,0.0
2015_2016,FI000,"Fiscalizacion, Yacimientos y Cartografía",FI005,Fiscalización - Ministerio de Minas y Energía,INVERSIÓN,0.0
2015_2016,FI000,"Fiscalizacion, Yacimientos y Cartografía",FI005,Fiscalización - Ministerio de Minas y Energía,OTROS,0.0
2015_2016,FI000,"Fiscalizacion, Yacimientos y Cartografía",FI006,Fiscalización - Departamento de Antioquia,AHORRO,0.0
2015_2016,FI000,"Fiscalizacion, Yacimientos y Cartografía",FI006,Fiscalización - Departamento de Antioquia,INVERSIÓN,0.0
2015_2016,FI000,"Fiscalizacion, Yacimientos y Cartografía",FI006,Fiscalización - Departamento de Antioquia,OTROS,0.0
2017_2018,FI000,"Fiscalizacion, Yacimientos y Cartografía",FI000,"Fiscalizacion, Yacimientos y Cartografía",AHORRO,0.0
2017_2018,FI000,"Fiscalizacion, Yacimientos y Cartografía",FI000,"Fiscalizacion, Yacimientos y Cartografía",INVERSIÓN,0.0
2017_2018,FI000,"Fiscalizacion, Yacimientos y Cartografía",FI000,"Fiscalizacion, Yacimientos y Cartografía",OTROS,0.0
2017_2018,FI000,"Fiscalizacion, Yacimientos y Cartografía",FI001,Fiscalizacion por Distribuir,AHORRO,0.0
2017_2018,FI000,"Fiscalizacion, Yacimientos y Cartografía",FI001,Fiscalizacion por Distribuir,INVERSIÓN,0.0
2017_2018,FI000,"Fiscalizacion, Yacimientos y Cartografía",FI001,Fiscalizacion por Distribuir,OTROS,115018854557.7677
